"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13343","should display the correct heading on the home page","","Thu Jul 17 11:46:07 NZST 2025","failed","Thu Jul 17 11:46:20 NZST 2025","@UITC1 - Home Page Tests","tests\UITC1.spec.ts","",""
"","4838","should display the correct heading on the home page","","Thu Jul 17 11:40:04 NZST 2025","passed","Thu Jul 17 11:40:09 NZST 2025","UITC1 - Home Page Tests","tests\UITC1.spec.ts","",""
"","5845","UITC1 - navigate to signup page enter the details and regiseration forms","","Mon Jul 28 09:36:33 NZST 2025","passed","Mon Jul 28 09:36:39 NZST 2025","@UITC1 - New user Registeration","tests\UI\UITC1.spec.ts","",""
"","872","APITC1 - GET all products list","API","Mon Jul 28 09:49:20 NZST 2025","passed","Mon Jul 28 09:49:21 NZST 2025","","tests\API\APITC1.spec.ts","",""
"","3269","should display the correct heading on the home page","","Thu Jul 17 12:21:50 NZST 2025","passed","Thu Jul 17 12:21:53 NZST 2025","@UITC1 - New user Registeration","tests\UITC1.spec.ts","",""
"","851","@APITC1 - GET all products list","API","Wed Aug 06 10:46:15 NZST 2025","passed","Wed Aug 06 10:46:16 NZST 2025","@APITC1 - GET all products list","tests\API\APITC1.spec.ts","",""
"","7804","UITC1 - should display the correct heading on the home page","","Thu Jul 17 13:18:45 NZST 2025","passed","Thu Jul 17 13:18:52 NZST 2025","@UITC1 - New user Registeration","tests\UITC1.spec.ts","",""
"","7722","UITC1 - navigate to signup page enter the details and regiseration forms","UI","Wed Aug 06 10:46:07 NZST 2025","passed","Wed Aug 06 10:46:14 NZST 2025","@UITC1 - New user Registeration","tests\UI\UITC1.spec.ts","",""
"","833","@APITC1 - GET all products list","API","Mon Jul 28 09:49:47 NZST 2025","passed","Mon Jul 28 09:49:47 NZST 2025","","tests\API\APITC1.spec.ts","",""
"","7448","UITC1 - navigate to signup page enter the details and regiseration forms","","Thu Jul 17 14:41:22 NZST 2025","passed","Thu Jul 17 14:41:29 NZST 2025","@UITC1 - New user Registeration","tests\UITC1.spec.ts","",""
